0.001325 -0.000019 0.000000,0.051284 -0.015527 0.000000,0.085373 -0.055205 0.000000,0.093180 -0.106929 0.000000,0.030417 -0.184036 0.000000,
0.001325 -0.000021 0.000000,0.050373 -0.017592 0.000000,0.079221 -0.060978 0.000000,0.076450 -0.113005 0.000000,-0.006158 -0.165442 0.000000,
0.001325 -0.000024 0.000000,0.049353 -0.019598 0.000000,0.072553 -0.065982 0.000000,0.059411 -0.116153 0.000000,-0.033830 -0.139326 0.000000,
0.001325 -0.000026 0.000000,0.048226 -0.021537 0.000000,0.065473 -0.070168 0.000000,0.042602 -0.116421 0.000000,-0.051232 -0.109049 0.000000,
0.002550 0.000000 0.000000,0.104550 0.000000 0.000000,0.206550 0.000000 0.000000,0.308550 0.000000 0.000000,0.510000 0.000000 0.000000,
0.002550 0.000005 0.000000,0.104429 0.004389 0.000000,0.205631 0.016900 0.000000,0.305510 0.037458 0.000000,0.496408 0.101144 0.000000,
0.002550 0.000010 0.000000,0.104065 0.008762 0.000000,0.202889 0.033575 0.000000,0.296497 0.073816 0.000000,0.456927 0.194264 0.000000,
0.002550 0.000015 0.000000,0.103460 0.013105 0.000000,0.198366 0.049807 0.000000,0.281828 0.108016 0.000000,0.395302 0.272185 0.000000,
0.002550 0.000020 0.000000,0.102617 0.017404 0.000000,0.192136 0.065382 0.000000,0.262018 0.139085 0.000000,0.317300 0.329330 0.000000,
0.002550 0.000025 0.000000,0.101539 0.021642 0.000000,0.184296 0.080101 0.000000,0.237755 0.166172 0.000000,0.230063 0.362274 0.000000,
0.002550 0.000031 0.000000,0.100230 0.025807 0.000000,0.174970 0.093777 0.000000,0.209876 0.188579 0.000000,0.141319 0.370053 0.000000,
0.002550 0.000036 0.000000,0.098697 0.029883 0.000000,0.164303 0.106243 0.000000,0.179328 0.205789 0.000000,0.058538 0.354183 0.000000,
0.002550 0.000041 0.000000,0.096944 0.033857 0.000000,0.152463 0.117353 0.000000,0.147131 0.217480 0.000000,-0.011851 0.318397 0.000000,
0.002550 0.000046 0.000000,0.094980 0.037716 0.000000,0.139631 0.126985 0.000000,0.114338 0.223539 0.000000,-0.065107 0.268136 0.000000,
0.002549 0.000051 0.000000,0.092813 0.041448 0.000000,0.126004 0.135040 0.000000,0.081989 0.224056 0.000000,-0.098597 0.209868 0.000000,
0.002550 -0.000005 0.000000,0.104429 -0.004389 0.000000,0.205631 -0.016900 0.000000,0.305510 -0.037458 0.000000,0.496408 -0.101144 0.000000,
0.002550 -0.000010 0.000000,0.104065 -0.008762 0.000000,0.202889 -0.033575 0.000000,0.296497 -0.073816 0.000000,0.456927 -0.194264 0.000000,
0.002550 -0.000015 0.000000,0.103460 -0.013105 0.000000,0.198366 -0.049807 0.000000,0.281828 -0.108016 0.000000,0.395302 -0.272185 0.000000,
0.002550 -0.000020 0.000000,0.102617 -0.017404 0.000000,0.192136 -0.065382 0.000000,0.262018 -0.139085 0.000000,0.317300 -0.329330 0.000000,
0.002550 -0.000025 0.000000,0.101539 -0.021642 0.000000,0.184296 -0.080101 0.000000,0.237755 -0.166172 0.000000,0.230063 -0.362274 0.000000,
0.002550 -0.000031 0.000000,0.100230 -0.025807 0.000000,0.174970 -0.093777 0.000000,0.209876 -0.188579 0.000000,0.141319 -0.370053 0.000000,
0.002550 -0.000036 0.000000,0.098697 -0.029883 0.000000,0.164303 -0.106243 0.000000,0.179328 -0.205789 0.000000,0.058538 -0.354183 0.000000,
0.002550 -0.000041 0.000000,0.096944 -0.033857 0.000000,0.152463 -0.117353 0.000000,0.147131 -0.217480 0.000000,-0.011851 -0.318397 0.000000,
0.002550 -0.000046 0.000000,0.094980 -0.037716 0.000000,0.139631 -0.126985 0.000000,0.114338 -0.223539 0.000000,-0.065107 -0.268136 0.000000,
0.002549 -0.000051 0.000000,0.092813 -0.041448 0.000000,0.126004 -0.135040 0.000000,0.081989 -0.224056 0.000000,-0.098597 -0.209868 0.000000,
0.003775 0.000000 0.000000,0.154775 0.000000 0.000000,0.305775 0.000000 0.000000,0.456775 0.000000 0.000000,0.755000 0.000000 0.000000,
0.003775 0.000008 0.000000,0.154595 0.006497 0.000000,0.304414 0.025018 0.000000,0.452274 0.055453 0.000000,0.734878 0.149732 0.000000,
0.003775 0.000015 0.000000,0.154057 0.012971 0.000000,0.300355 0.049705 0.000000,0.438932 0.109277 0.000000,0.676431 0.287587 0.000000,
0.003775 0.000023 0.000000,0.153161 0.019401 0.000000,0.293660 0.073734 0.000000,0.417216 0.159906 0.000000,0.585203 0.402941 0.000000,
0.003775 0.000030 0.000000,0.151913 0.025764 0.000000,0.284436 0.096791 0.000000,0.387889 0.205900 0.000000,0.469729 0.487538 0.000000,
0.003775 0.000038 0.000000,0.150317 0.032039 0.000000,0.272830 0.118580 0.000000,0.351971 0.245999 0.000000,0.340584 0.536307 0.000000,
