0.000100 -0.000001 0.000000,0.004782 -0.001764 0.000000,0.007314 -0.006078 0.000000,0.006570 -0.011024 0.000000,0.002882 -0.014403 0.000000,-0.002111 -0.014711 0.000000,-0.006187 -0.011811 0.000000,-0.007533 -0.006993 0.000000,-0.005550 -0.002401 0.000000,-0.001120 -0.000077 0.000000,0.003786 -0.001055 0.000000,0.006985 -0.004900 0.000000,0.007055 -0.009902 0.000000,0.003964 -0.013835 0.000000,-0.000912 -0.014950 0.000000,-0.005405 -0.012751 0.000000,-0.007516 -0.008216 0.000000,-0.006305 -0.003362 0.000000,-0.002312 -0.000349 0.000000,0.005262 -0.002205 0.000000,
0.000100 -0.000002 0.000000,0.004555 -0.002154 0.000000,0.005879 -0.006921 0.000000,0.003171 -0.011062 0.000000,-0.001728 -0.011761 0.000000,-0.005485 -0.008541 0.000000,-0.005547 -0.003594 0.000000,-0.001870 -0.000282 0.000000,0.003044 -0.000859 0.000000,0.005854 -0.004932 0.000000,0.004649 -0.009731 0.000000,0.000249 -0.011992 0.000000,-0.004355 -0.010179 0.000000,-0.006031 -0.005524 0.000000,-0.003640 -0.001192 0.000000,0.001193 -0.000130 0.000000,0.005180 -0.003059 0.000000,0.005611 -0.007989 0.000000,0.002192 -0.011565 0.000000,-0.005045 -0.009324 0.000000,
0.000100 -0.000002 0.000000,0.004287 -0.002512 0.000000,0.004340 -0.007394 0.000000,0.000208 -0.009993 0.000000,-0.004170 -0.007833 0.000000,-0.004620 -0.002972 0.000000,-0.000714 -0.000044 0.000000,0.003825 -0.001840 0.000000,0.004670 -0.006649 0.000000,0.001016 -0.009885 0.000000,-0.003655 -0.008465 0.000000,-0.004889 -0.003741 0.000000,-0.001510 -0.000218 0.000000,0.003261 -0.001253 0.000000,0.004876 -0.005860 0.000000,0.001795 -0.009647 0.000000,-0.003044 -0.009004 0.000000,-0.005029 -0.004544 0.000000,-0.002268 -0.000519 0.000000,0.004574 -0.003097 0.000000,
0.000490 0.000000 0.000000,0.025480 0.000000 0.000000,0.050470 0.000000 0.000000,0.075460 0.000000 0.000000,0.100450 0.000000 0.000000,0.125440 0.000000 0.000000,0.150430 0.000000 0.000000,0.175420 0.000000 0.000000,0.200410 0.000000 0.000000,0.225400 0.000000 0.000000,0.250390 0.000000 0.000000,0.275380 0.000000 0.000000,0.300370 0.000000 0.000000,0.325360 0.000000 0.000000,0.350350 0.000000 0.000000,0.375340 0.000000 0.000000,0.400330 0.000000 0.000000,0.425320 0.000000 0.000000,0.450310 0.000000 0.000000,0.490490 0.000000 0.000000,
0.000490 0.000002 0.000000,0.025349 0.002245 0.000000,0.049470 0.008662 0.000000,0.072158 0.019067 0.000000,0.092758 0.033160 0.000000,0.110677 0.050536 0.000000,0.125398 0.070692 0.000000,0.136497 0.093049 0.000000,0.143653 0.116961 0.000000,0.146661 0.141739 0.000000,0.145433 0.166669 0.000000,0.140006 0.191031 0.000000,0.130535 0.214125 0.000000,0.117293 0.235283 0.000000,0.100663 0.253895 0.000000,0.081123 0.269426 0.000000,0.059238 0.281427 0.000000,0.035638 0.289553 0.000000,0.011003 0.293569 0.000000,-0.028980 0.291164 0.000000,
0.000490 0.000003 0.000000,0.024958 0.004456 0.000000,0.046541 0.016813 0.000000,0.062767 0.035660 0.000000,0.071778 0.058840 0.000000,0.072544 0.083698 0.000000,0.064976 0.107389 0.000000,0.049941 0.127199 0.000000,0.029160 0.140861 0.000000,0.005013 0.146812 0.000000,-0.019737 0.144368 0.000000,-0.042255 0.133811 0.000000,-0.059963 0.116349 0.000000,-0.070834 0.093981 0.000000,-0.073623 0.069268 0.000000,-0.068011 0.045039 0.000000,-0.054641 0.024069 0.000000,-0.035042 0.008759 0.000000,-0.011460 0.000860 0.000000,0.027935 0.005616 0.000000,
0.000490 0.000005 0.000000,0.024315 0.006599 0.000000,0.041888 0.023984 0.000000,0.048739 0.047736 0.000000,0.043122 0.071809 0.000000,0.026468 0.090078 0.000000,0.003016 0.097891 0.000000,-0.021267 0.093261 0.000000,-0.040199 0.077366 0.000000,-0.048963 0.054252 0.000000,-0.045327 0.029800 0.000000,-0.030218 0.010235 0.000000,-0.007480 0.000536 0.000000,0.017100 0.003172 0.000000,0.037265 0.017471 0.000000,0.047883 0.039794 0.000000,0.046252 0.064461 0.000000,0.032787 0.085192 0.000000,0.010915 0.096712 0.000000,-0.027516 0.089710 0.000000,
0.000490 0.000007 0.000000,0.023430 0.008641 0.000000,0.035838 0.029780 0.000000,0.032195 0.054019 0.000000,0.014120 0.070576 0.000000,-0.010345 0.072085 0.000000,-0.030317 0.057874 0.000000,-0.036911 0.034267 0.000000,-0.027195 0.011763 0.000000,-0.005489 0.000375 0.000000,0.018549 0.005168 0.000000,0.034227 0.024011 0.000000,0.034569 0.048520 0.000000,0.019425 0.067793 0.000000,-0.004470 0.073256 0.000000,-0.026485 0.062479 0.000000,-0.036828 0.040256 0.000000,-0.030896 0.016474 0.000000,-0.011329 0.001710 0.000000,0.025782 0.010804 0.000000,
0.000490 0.000008 0.000000,0.022321 0.010554 0.000000,0.028806 0.033915 0.000000,0.015536 0.054205 0.000000,-0.008466 0.057627 0.000000,-0.026878 0.041853 0.000000,-0.027178 0.017610 0.000000,-0.009163 0.001384 0.000000,0.014917 0.004210 0.000000,0.028686 0.024165 0.000000,0.022781 0.047680 0.000000,0.001218 0.058763 0.000000,-0.021340 0.049878 0.000000,-0.029553 0.027067 0.000000,-0.017835 0.005842 0.000000,0.005844 0.000637 0.000000,0.025383 0.014991 0.000000,0.027493 0.039144 0.000000,0.010741 0.056670 0.000000,-0.024722 0.045685 0.000000,
0.000490 0.000010 0.000000,0.021007 0.012308 0.000000,0.021265 0.036228 0.000000,0.001018 0.048967 0.000000,-0.020433 0.038381 0.000000,-0.022640 0.014562 0.000000,-0.003498 0.000216 0.000000,0.018744 0.009018 0.000000,0.022885 0.032578 0.000000,0.004977 0.048437 0.000000,-0.017909 0.041477 0.000000,-0.023957 0.018333 0.000000,-0.007400 0.001067 0.000000,0.015977 0.006138 0.000000,0.023890 0.028713 0.000000,0.008796 0.047270 0.000000,-0.014917 0.044121 0.000000,-0.024643 0.022267 0.000000,-0.011112 0.002541 0.000000,0.022412 0.015176 0.000000,
